bound,number of checked benchmarks,average time,median time
1,15907,0.331,0.247
2,15036,0.712,0.385
3,14678,16.243,0.796
4,11788,23.716,1.539
5,10632,75.884,4.612
6,7841,65.588,4.19
7,6395,53.671,5.855
8,5428,40.526,7.12
9,5180,74.498,11.86
10,4347,67.611,5.792
