time,event
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.216,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.217,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.218,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.219,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.22,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.221,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.222,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.223,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.224,counterexample
0.225,counterexample
0.225,counterexample
0.225,counterexample
0.225,counterexample
0.225,counterexample
0.225,counterexample
0.225,counterexample
0.225,counterexample
0.225,counterexample
0.225,counterexample
0.225,counterexample
0.226,counterexample
0.226,counterexample
0.226,counterexample
0.226,counterexample
0.226,counterexample
0.226,counterexample
0.226,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.227,counterexample
0.228,counterexample
0.228,counterexample
0.228,counterexample
0.228,counterexample
0.228,counterexample
0.228,counterexample
0.228,counterexample
0.228,counterexample
0.228,counterexample
0.228,counterexample
0.228,counterexample
0.228,counterexample
0.228,counterexample
0.228,counterexample
0.229,counterexample
0.229,counterexample
0.229,counterexample
0.229,counterexample
0.229,counterexample
0.229,counterexample
0.229,counterexample
0.229,counterexample
0.229,counterexample
0.229,counterexample
0.229,counterexample
0.23,counterexample
0.23,counterexample
0.23,counterexample
0.23,counterexample
0.23,counterexample
0.23,counterexample
0.23,counterexample
0.231,counterexample
0.231,counterexample
0.231,counterexample
0.231,counterexample
0.231,counterexample
0.232,counterexample
0.232,counterexample
0.232,counterexample
0.232,counterexample
0.232,counterexample
0.232,counterexample
0.232,counterexample
0.232,counterexample
0.232,counterexample
0.232,counterexample
0.232,counterexample
0.233,counterexample
0.233,counterexample
0.233,counterexample
0.233,counterexample
0.233,counterexample
0.233,counterexample
0.234,counterexample
0.234,counterexample
0.234,counterexample
0.234,counterexample
0.234,counterexample
0.234,counterexample
0.234,counterexample
0.234,counterexample
0.235,counterexample
0.235,counterexample
0.235,counterexample
0.235,counterexample
0.235,counterexample
0.235,counterexample
0.235,counterexample
0.235,counterexample
0.235,counterexample
0.236,counterexample
0.236,counterexample
0.236,counterexample
0.236,counterexample
0.236,counterexample
0.236,counterexample
0.236,counterexample
0.236,counterexample
0.236,counterexample
0.236,counterexample
0.236,counterexample
0.236,counterexample
0.236,counterexample
0.237,counterexample
0.237,counterexample
0.237,counterexample
0.237,counterexample
0.237,counterexample
0.237,counterexample
0.237,counterexample
0.237,counterexample
0.237,counterexample
0.237,counterexample
0.237,counterexample
0.237,counterexample
0.238,counterexample
0.238,counterexample
0.238,counterexample
0.238,counterexample
0.238,counterexample
0.238,counterexample
0.238,counterexample
0.238,counterexample
0.238,counterexample
0.238,counterexample
0.238,counterexample
0.239,counterexample
0.239,counterexample
0.239,counterexample
0.239,counterexample
0.239,counterexample
0.239,counterexample
0.239,counterexample
0.239,counterexample
0.239,counterexample
0.239,counterexample
0.239,counterexample
0.239,counterexample
0.24,counterexample
0.24,counterexample
0.24,counterexample
0.24,counterexample
0.24,counterexample
0.24,counterexample
0.24,counterexample
0.24,counterexample
0.24,counterexample
0.24,counterexample
0.24,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.241,counterexample
0.242,counterexample
0.242,counterexample
