bound,number of checked benchmarks,average time,median time
1,49,0.736,0.771
2,40,2.391,0.29
3,33,4.596,0.612
4,30,15.893,1.748
5,27,69.001,3.492
6,17,19.916,0.793
7,15,44.923,1.251
8,13,16.223,2.747
9,12,37.892,5.69
10,12,61.736,12.522
